study_accession,sample_accession,analysis_accession,generated_ftp,sample_title
PRJEB45963,SAMEA2205647,ERZ3166198,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166198/contig.fa.gz,11679_4#86
PRJEB45963,SAMEA2205649,ERZ3166199,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166199/contig.fa.gz,11679_8#83
PRJEB45963,SAMEA2205656,ERZ3166200,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166200/contig.fa.gz,11657_6#91
PRJEB45963,SAMEA2205655,ERZ3166201,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166201/contig.fa.gz,11657_5#94
PRJEB45963,SAMEA2205659,ERZ3166205,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166205/contig.fa.gz,11679_6#87
PRJEB45963,SAMEA2205657,ERZ3166206,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166206/contig.fa.gz,11679_8#85
PRJEB45963,SAMEA2205661,ERZ3166207,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166207/contig.fa.gz,11657_5#95
PRJEB45963,SAMEA2205660,ERZ3166208,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166208/contig.fa.gz,11658_3#88
PRJEB45963,SAMEA2205662,ERZ3166209,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166209/contig.fa.gz,11791_3#79
PRJEB45963,SAMEA2205663,ERZ3166210,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166210/contig.fa.gz,11791_3#80
PRJEB45963,SAMEA2205658,ERZ3166211,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166211/contig.fa.gz,11679_8#86
PRJEB45963,SAMEA2205664,ERZ3166212,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166212/contig.fa.gz,11679_4#88
PRJEB45963,SAMEA2205665,ERZ3166214,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166214/contig.fa.gz,11679_8#87
PRJEB45963,SAMEA2205669,ERZ3166217,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166217/contig.fa.gz,11679_6#88
PRJEB45963,SAMEA2205672,ERZ3166218,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166218/contig.fa.gz,11791_3#83
PRJEB45963,SAMEA2205666,ERZ3166219,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166219/contig.fa.gz,11679_7#83
PRJEB45963,SAMEA2205670,ERZ3166220,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166220/contig.fa.gz,11679_8#88
PRJEB45963,SAMEA2205668,ERZ3166221,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166221/contig.fa.gz,11791_6#38
PRJEB45963,SAMEA2205667,ERZ3166222,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166222/contig.fa.gz,11791_3#81
PRJEB45963,SAMEA2205673,ERZ3166223,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166223/contig.fa.gz,11791_3#84
PRJEB45963,SAMEA2205674,ERZ3166224,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166224/contig.fa.gz,11679_7#84
PRJEB45963,SAMEA2205671,ERZ3166225,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166225/contig.fa.gz,11791_3#82
PRJEB45963,SAMEA2205680,ERZ3166230,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166230/contig.fa.gz,11657_7#90
PRJEB45963,SAMEA2205683,ERZ3166231,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166231/contig.fa.gz,11679_7#86
PRJEB45963,SAMEA2205675,ERZ3166232,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166232/contig.fa.gz,11791_3#85
PRJEB45963,SAMEA2205682,ERZ3166233,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166233/contig.fa.gz,11679_5#85
PRJEB45963,SAMEA2205677,ERZ3166234,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166234/contig.fa.gz,11679_6#89
PRJEB45963,SAMEA2205679,ERZ3166235,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166235/contig.fa.gz,11679_7#85
PRJEB45963,SAMEA2205678,ERZ3166236,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166236/contig.fa.gz,11791_3#86
PRJEB45963,SAMEA2205676,ERZ3166237,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166237/contig.fa.gz,11791_6#39
PRJEB45963,SAMEA2205681,ERZ3166238,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166238/contig.fa.gz,11679_5#84
PRJEB45963,SAMEA2205689,ERZ3166243,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166243/contig.fa.gz,11679_6#90
PRJEB45963,SAMEA2205686,ERZ3166244,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166244/contig.fa.gz,11658_4#95
PRJEB45963,SAMEA2205692,ERZ3166245,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166245/contig.fa.gz,11679_5#87
PRJEB45963,SAMEA2205688,ERZ3166246,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166246/contig.fa.gz,11679_4#90
PRJEB45963,SAMEA2205684,ERZ3166247,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166247/contig.fa.gz,11679_7#87
PRJEB45963,SAMEA2205690,ERZ3166248,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166248/contig.fa.gz,11679_7#88
PRJEB45963,SAMEA2205685,ERZ3166249,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166249/contig.fa.gz,11679_4#89
PRJEB45963,SAMEA2205687,ERZ3166250,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166250/contig.fa.gz,11679_5#86
PRJEB45963,SAMEA2205691,ERZ3166251,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166251/contig.fa.gz,11679_6#91
PRJEB45963,SAMEA2205697,ERZ3166256,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166256/contig.fa.gz,11658_3#89
PRJEB45963,SAMEA2205694,ERZ3166257,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166257/contig.fa.gz,11679_8#89
